4.8149499515660316717e+00 3.8478499999999998815e-03 8.8241100000000002868e-02 4.5205037132709069425e+00 5.1662899580238939024e+00
5.4615434291249602694e+00 2.7812300000000001604e-02 7.2266999999999997906e-02 5.1662899580238939024e+00 5.8120762027768808622e+00
6.1086535356796902718e+00 1.4240900000000000780e-01 7.0536399999999999100e-02 5.8120762027768808622e+00 6.4578624475298678220e+00
6.7560219567323223089e+00 4.9833399999999999919e-02 6.7136699999999993604e-02 6.4578624475298678220e+00 7.1036486922828547819e+00
7.5374878915079106534e+00 1.1553099999999999481e-01 6.0212700000000000944e-02 7.1036486922828547819e+00 8.0723280594123352216e+00
8.7503713270907343968e+00 5.6555399999999998728e-02 6.3345499999999999030e-02 8.0723280594123352216e+00 9.6867936712948008449e+00
1.0384242815628025980e+01 1.9273299999999998766e-01 1.6479299999999999504e-01 9.6867936712948008449e+00 1.1301259283177268244e+01
1.2010332579916047635e+01 1.7217999999999999972e-01 9.1568300000000005245e-02 1.1301259283177268244e+01 1.2915724895059735644e+01
1.4202841459476912789e+01 1.0970699999999999896e-01 8.9966299999999999049e-02 1.2915724895059735644e+01 1.6144656118824670443e+01
1.8353471101065547799e+01 1.8630499999999999838e-01 2.1201600000000001001e-01 1.6144656118824670443e+01 2.2602518566354536489e+01
