# SDC file containing only one column of LP correction values created from
# original files: ../SDCs_Chung/3p2singlet_NLO.txt and ../SDCs_Chung/3p2singlet_NLOLP.txt
# Using column 2 for helicity eigenstate h=1
# LP = NLO+LP - NLO (where the values are taken from the corresponding individual files)
################################################
# pT SDC
################################################
5.0 -375.7209358
6.0 -181.67377887
7.0 -96.08590734
8.0 -54.47892662000001
9.0 -32.61396849
10.0 -20.42970693
11.0 -13.299285965
12.0 -8.944023794
13.0 -6.18724956
14.0 -4.384061857000001
15.0 -3.1716749159999997
16.0 -2.336283408
17.0 -1.7495747119999998
18.0 -1.3302547279999999
19.0 -1.024987254
20.0 -0.799243397
21.0 -0.629735332
22.0 -0.501067455
23.0 -0.40230505199999994
24.0 -0.32571463900000003
25.0 -0.265751862
26.0 -0.21842492600000002
27.0 -0.18072317899999998
28.0 -0.15045572
29.0 -0.125981003
30.0 -0.106057006
31.0 -0.08973029099999999
32.0 -0.076277287
33.0 -0.06513110899999999
34.0 -0.055848267
35.0 -0.048079391
36.0 -0.041547453
37.0 -0.036031427
38.0 -0.031353936
39.0 -0.027371841000000004
40.0 -0.023969024000000002
41.0 -0.021051325000000003
42.0 -0.018540505
43.0 -0.016372776
44.0 -0.014495426
45.0 -0.012864713000000002
46.0 -0.011444197000000001
47.0 -0.010203403
48.0 -0.009116753999999998
49.0 -0.008162705
50.0 -0.007323054
51.0 -0.006582851000000001
52.0 -0.00592834
53.0 -0.0053483390000000006
54.0 -0.004833287
55.0 -0.004374988999999999
56.0 -0.0039663979999999995
57.0 -0.0036014400000000005
58.0 -0.0032748669999999994
59.0 -0.0029821319999999998
60.0 -0.002719287
61.0 -0.002482621
62.0 -0.002269485
63.0 -0.0020772589999999997
64.0 -0.001903643
65.0 -0.001746617
66.0 -0.001604405
67.0 -0.0014754380000000001
68.0 -0.001358334
69.0 -0.001251868
70.0 -0.001154956
71.0 -0.0010667340000000002
72.0 -0.0009862249999999999
73.0 -0.000912667
74.0 -0.000845384
75.0 -0.000783769
76.0 -0.000727286
77.0 -0.0006754510000000001
78.0 -0.000627834
79.0 -0.000584046
80.0 -0.0005437419999999999
81.0 -0.0005065860000000001
82.0 -0.000472325
83.0 -0.00044070499999999995
84.0 -0.000411499
85.0 -0.00038449999999999997
86.0 -0.000359521
87.0 -0.000336391
88.0 -0.000314959
89.0 -0.000295083
90.0 -0.00027663699999999993
91.0 -0.00025951399999999997
92.0 -0.000243598
93.0 -0.000228795
94.0 -0.00021501599999999998
95.0 -0.000202182
96.0 -0.000190219
97.0 -0.00017906200000000001
98.0 -0.00016864900000000002
99.0 -0.00015892399999999998
100.0 -0.00014983700000000002
101.0 -0.00014133699999999998
102.0 -0.00013338500000000002
103.0 -0.000125941
104.0 -0.0001189691
105.0 -0.0001124345
106.0 -0.000106309
107.0 -0.0001005615
108.0 -9.51675e-05
109.0 -9.01016e-05
110.0 -8.534229999999999e-05
111.0 -8.0868e-05
112.0 -7.665980000000001e-05
113.0 -7.27008e-05
114.0 -6.897349999999999e-05
115.0 -6.546330000000001e-05
116.0 -6.21559e-05
117.0 -5.90386e-05
118.0 -5.60989e-05
119.0 -5.33248e-05
120.0 -5.07069e-05
