# SDC file containing only one column of LP correction values created from
# original files: ../SDCs_Chung/3p2singlet_NLO.txt and ../SDCs_Chung/3p2singlet_NLOLP.txt
# Using column 3 for helicity eigenstate h=2
# LP = NLO+LP - NLO (where the values are taken from the corresponding individual files)
################################################
# pT SDC
################################################
5.0 -784.3827174
6.0 -379.87097130000006
7.0 -201.11926469999997
8.0 -114.11537085
9.0 -68.36322437000001
10.0 -42.8498063
11.0 -27.908328849999997
12.0 -18.7769628
13.0 -12.994569356
14.0 -9.210760384
15.0 -6.665714936999999
16.0 -4.911438588
17.0 -3.678999317
18.0 -2.797927315
19.0 -2.156336459
20.0 -1.6817708399999998
21.0 -1.325347072
22.0 -1.0547429130000001
23.0 -0.8469943749999999
24.0 -0.6858565460000001
25.0 -0.559680457
26.0 -0.46007838599999995
27.0 -0.380720868
28.0 -0.31700220200000007
29.0 -0.26547100999999995
30.0 -0.22351554099999998
31.0 -0.189130478
32.0 -0.16079400699999996
33.0 -0.13731358300000002
34.0 -0.117756117
35.0 -0.10138645299999999
36.0 -0.08762158799999999
37.0 -0.07599632
38.0 -0.06613727
39.0 -0.05774309899999999
40.0 -0.050569326000000005
41.0 -0.04441768499999999
42.0 -0.039123408
43.0 -0.034552152
44.0 -0.030592888999999998
45.0 -0.027153479999999997
46.0 -0.024157152999999997
47.0 -0.021539702
48.0 -0.019247234000000002
49.0 -0.017234353
50.0 -0.015462693000000001
51.0 -0.013900702999999999
52.0 -0.012519449999999998
53.0 -0.011295359999999999
54.0 -0.01020828
55.0 -0.009240927000000001
56.0 -0.008378443
57.0 -0.00760802
58.0 -0.00691859
59.0 -0.006300562000000001
60.0 -0.0057456090000000005
61.0 -0.005245939
62.0 -0.00479592
63.0 -0.004390021000000001
64.0 -0.004023394
65.0 -0.0036917779999999997
66.0 -0.003391424
67.0 -0.0031190249999999997
68.0 -0.0028716630000000004
69.0 -0.0026467549999999998
70.0 -0.0024420140000000006
71.0 -0.0022556029999999997
72.0 -0.0020854789999999995
73.0 -0.001930034
74.0 -0.00178784
75.0 -0.0016576209999999997
76.0 -0.0015382389999999998
77.0 -0.001428679
78.0 -0.0013280269999999999
79.0 -0.001235469
80.0 -0.0011502689999999998
81.0 -0.0010717259999999998
82.0 -0.0009993
83.0 -0.0009324549999999999
84.0 -0.0008707090000000001
85.0 -0.0008136249999999999
86.0 -0.0007608100000000001
87.0 -0.000711904
88.0 -0.000666582
89.0 -0.000624551
90.0 -0.000585542
91.0 -0.0005493270000000001
92.0 -0.0005156650000000001
93.0 -0.00048435300000000003
94.0 -0.000455207
95.0 -0.00042805699999999997
96.0 -0.0004027510000000001
97.0 -0.00037914700000000003
98.0 -0.000357116
99.0 -0.00033654100000000004
100.0 -0.00031731299999999995
101.0 -0.000299327
102.0 -0.00028249999999999993
103.0 -0.00026674699999999996
104.0 -0.000251992
105.0 -0.000238164
106.0 -0.000225197
107.0 -0.00021303299999999998
108.0 -0.000201615
109.0 -0.00019089200000000001
110.0 -0.000180817
111.0 -0.00017134499999999997
112.0 -0.000162436
113.0 -0.000154054
114.0 -0.000146162
115.0 -0.00013873
116.0 -0.00013172699999999997
117.0 -0.00012512600000000003
118.0 -0.00011889999999999999
119.0 -0.000113026
120.0 -0.000107481
