# SDC file containing only one column of LP correction values created from
# original files: ../SDCs_Chung/3p1singlet_NLO.txt and ../SDCs_Chung/3p1singlet_NLOLP.txt
# Using column 2 for helicity eigenstate h=1
# LP = NLO+LP - NLO (where the values are taken from the corresponding individual files)
################################################
# pT SDC
################################################
5.0 -520.2536709
6.0 -254.02311669000002
7.0 -135.20935736
8.0 -77.00734667
9.0 -46.297700070000005
10.0 -29.11049845
11.0 -19.00800496
12.0 -12.816253416
13.0 -8.886886343999999
14.0 -6.310258429999999
15.0 -4.573900308
16.0 -3.374979485
17.0 -2.5313816819999997
18.0 -1.927421923
19.0 -1.4870572239999997
20.0 -1.160951791
21.0 -0.915767886
22.0 -0.729434224
23.0 -0.5862495529999999
24.0 -0.475093821
25.0 -0.38798449799999996
26.0 -0.319170936
27.0 -0.264303131
28.0 -0.22021648200000002
29.0 -0.184537739
30.0 -0.15546970300000001
31.0 -0.131631247
32.0 -0.111974065
33.0 -0.09567588599999999
34.0 -0.08209292599999998
35.0 -0.070717649
36.0 -0.061147324
37.0 -0.05306041
38.0 -0.046198689
39.0 -0.040353649000000005
40.0 -0.035356034999999994
41.0 -0.031068507
42.0 -0.027376892
43.0 -0.024188046
44.0 -0.021424950999999998
45.0 -0.019023665000000002
46.0 -0.016930887
47.0 -0.015102019
48.0 -0.013499612
49.0 -0.012092108999999998
50.0 -0.010852828
51.0 -0.009759657000000001
52.0 -0.008792672
53.0 -0.007935454
54.0 -0.0071739609999999995
55.0 -0.006496147999999999
56.0 -0.005891652999999999
57.0 -0.005351540000000001
58.0 -0.004868084
59.0 -0.004434592
60.0 -0.004045246
61.0 -0.0036947229999999996
62.0 -0.0033789349999999996
63.0 -0.0030940190000000004
64.0 -0.002836585
65.0 -0.002603656
66.0 -0.0023926140000000004
67.0 -0.0022011469999999997
68.0 -0.0020272170000000004
69.0 -0.0018690190000000002
70.0 -0.0017249540000000001
71.0 -0.001593686
72.0 -0.0014738510000000002
73.0 -0.001364327
74.0 -0.0012641129999999999
75.0 -0.0011723170000000002
76.0 -0.001088142
77.0 -0.001010876
78.0 -0.000939878
79.0 -0.0008745770000000001
80.0 -0.0008144580000000001
81.0 -0.0007590420000000001
82.0 -0.0007079310000000001
83.0 -0.0006607480000000001
84.0 -0.000617156
85.0 -0.000576846
86.0 -0.000539541
87.0 -0.0005049890000000001
88.0 -0.00047296199999999995
89.0 -0.000443253
90.0 -0.000415673
91.0 -0.00039006
92.0 -0.000366246
93.0 -0.00034409
94.0 -0.000323461
95.0 -0.00030424099999999996
96.0 -0.000286322
97.0 -0.000269604
98.0 -0.000253997
99.0 -0.000239418
100.0 -0.00022579099999999998
101.0 -0.000213041
102.0 -0.00020111
103.0 -0.000189938
104.0 -0.00017947100000000003
105.0 -0.00016965999999999997
106.0 -0.00016045900000000003
107.0 -0.00015182500000000002
108.0 -0.000143718
109.0 -0.000136104
110.0 -0.00012894700000000002
111.0 -0.000122218
112.0 -0.00011588700000000001
113.0 -0.00010992899999999998
114.0 -0.00010432000000000002
115.0 -9.90346e-05
116.0 -9.40545e-05
117.0 -8.93586e-05
118.0 -8.49299e-05
119.0 -8.07498e-05
120.0 -7.680450000000001e-05
