# SDC file containing only one column of values created from
# original inputfile: ../SDCs_Chung/3p2singlet_NLO.txt
# using column 1 for the SDC values and column 0 for the pt values
################################################
# pT SDC
################################################
5.0 398.5366544
6.0 196.4115135
7.0 96.78679569
8.0 47.69924501
9.0 23.52005019
10.0 11.6006229
11.0 5.718903418
12.0 2.828625404
13.0 1.395378972
14.0 0.679996312
15.0 0.320300756
16.0 0.08693485
17.0 -0.025661811
18.0 -0.073770795
19.0 -0.088444875
20.0 -0.086732015
21.0 -0.090313766
22.0 -0.086697134
23.0 -0.079333735
24.0 -0.070375208
25.0 -0.061108676
26.0 -0.053777309
27.0 -0.047199234
28.0 -0.041370423
29.0 -0.036246629
30.0 -0.031765323
31.0 -0.027858035
32.0 -0.024457103
33.0 -0.021499138
34.0 -0.018926592
35.0 -0.01668824
36.0 -0.014731621
37.0 -0.013027185
38.0 -0.011540621
39.0 -0.010242275
40.0 -0.009106597
41.0 -0.008111614
42.0 -0.007238442
43.0 -0.006470859
44.0 -0.005794927
45.0 -0.005198665
46.0 -0.004671765
47.0 -0.004205348
48.0 -0.003791758
49.0 -0.003424384
50.0 -0.003097512
51.0 -0.00280883
52.0 -0.002550802
53.0 -0.002319777
54.0 -0.002112582
55.0 -0.001926461
56.0 -0.001759007
57.0 -0.00160812
58.0 -0.001471961
59.0 -0.001348917
60.0 -0.00123757
61.0 -0.001136673
62.0 -0.001045126
63.0 -0.000961957
64.0 -0.000886306
65.0 -0.000817411
66.0 -0.000754596
67.0 -0.000697259
68.0 -0.000644865
69.0 -0.000596936
70.0 -0.000553047
71.0 -0.000512228
72.0 -0.000474821
73.0 -0.000440513
74.0 -0.000409019
75.0 -0.000380085
76.0 -0.000353481
77.0 -0.000328998
78.0 -0.000306449
79.0 -0.000285665
80.0 -0.000266492
81.0 -0.000248791
82.0 -0.000232437
83.0 -0.000217316
84.0 -0.000203324
85.0 -0.000190366
86.0 -0.000178359
87.0 -0.000167223
88.0 -0.000156889
89.0 -0.000147291
90.0 -0.000138371
91.0 -0.000130075
92.0 -0.000122354
93.0 -0.000115164
94.0 -0.000108464
95.0 -0.000102216
96.0 -9.63856e-05
97.0 -9.09419e-05
98.0 -8.58557e-05
99.0 -8.11007e-05
100.0 -7.66526e-05
101.0 -7.2489e-05
102.0 -6.85895e-05
103.0 -6.49351e-05
104.0 -6.15084e-05
105.0 -5.82934e-05
106.0 -5.52753e-05
107.0 -5.24404e-05
108.0 -4.97762e-05
109.0 -4.7271e-05
110.0 -4.49141e-05
111.0 -4.26954e-05
112.0 -4.06059e-05
113.0 -3.8637e-05
114.0 -3.67807e-05
115.0 -3.50298e-05
116.0 -3.33774e-05
117.0 -3.18173e-05
118.0 -3.03435e-05
119.0 -2.89507e-05
120.0 -2.76337e-05
