# SDC file containing only one column of values created from
# original inputfile: ../SDCs_Chung/3p2singlet_NLO.txt
# using column 3 for the SDC values and column 0 for the pt values
################################################
# pT SDC
################################################
5.0 -268.2219366
6.0 -151.8067033
7.0 -89.3491821
8.0 -54.55527665
9.0 -34.47252253
10.0 -22.48759745
11.0 -15.10742049
12.0 -10.42697692
13.0 -7.375490624
14.0 -5.333734556
15.0 -3.933901063
16.0 -2.937824546
17.0 -2.229400821
18.0 -1.717018973
19.0 -1.340452483
20.0 -1.059453503
21.0 -0.841821976
22.0 -0.675237068
23.0 -0.546428961
24.0 -0.445857749
25.0 -0.366596119
26.0 -0.305585306
27.0 -0.256687638
28.0 -0.217066711
29.0 -0.184648422
30.0 -0.157892117
31.0 -0.135636926
32.0 -0.116996637
33.0 -0.101286539
34.0 -0.087971726
35.0 -0.07663005
36.0 -0.066421987
37.0 -0.057733651
38.0 -0.05032139
39.0 -0.043982484
40.0 -0.038548143
41.0 -0.033877675
42.0 -0.029853644
43.0 -0.026377879
44.0 -0.023368168
45.0 -0.020755537
46.0 -0.018482002
47.0 -0.016498723
48.0 -0.014764473
49.0 -0.013244377
50.0 -0.011908871
51.0 -0.010777645
52.0 -0.009774173
53.0 -0.008881571
54.0 -0.008085511
55.0 -0.007373789
56.0 -0.006735968
57.0 -0.006163092
58.0 -0.005647449
59.0 -0.005182378
60.0 -0.004762106
61.0 -0.004381616
62.0 -0.004036534
63.0 -0.003723038
64.0 -0.003437777
65.0 -0.003177809
66.0 -0.002940543
67.0 -0.002723689
68.0 -0.002525224
69.0 -0.002343352
70.0 -0.002176479
71.0 -0.002019935
72.0 -0.001876219
73.0 -0.001744156
74.0 -0.001622692
75.0 -0.001510875
76.0 -0.001407849
77.0 -0.001312841
78.0 -0.001225153
79.0 -0.001144153
80.0 -0.001069272
81.0 -0.000999991
82.0 -0.000935841
83.0 -0.000876397
84.0 -0.000821273
85.0 -0.000770115
86.0 -0.000722605
87.0 -0.000678451
88.0 -0.000637386
89.0 -0.000599169
90.0 -0.000563578
91.0 -0.00053041
92.0 -0.00049948
93.0 -0.000470619
94.0 -0.000443671
95.0 -0.000418494
96.0 -0.000394957
97.0 -0.000372939
98.0 -0.000352332
99.0 -0.000333033
100.0 -0.000314948
101.0 -0.000297992
102.0 -0.000282086
103.0 -0.000267156
104.0 -0.000253135
105.0 -0.000239961
106.0 -0.000227576
107.0 -0.000215927
108.0 -0.000204965
109.0 -0.000194644
110.0 -0.000184921
111.0 -0.000175758
112.0 -0.000167119
113.0 -0.000158969
114.0 -0.000151278
115.0 -0.000144016
116.0 -0.000137156
117.0 -0.000130673
118.0 -0.000124544
119.0 -0.000118747
120.0 -0.000113262
