# SDC file containing only one column of values created from
# original inputfile: ../SDCs_Chung/3p1singlet_NLO.txt
# using column 1 for the SDC values and column 0 for the pt values
################################################
# pT SDC
################################################
5.0 1198.990033
6.0 637.5196127
7.0 314.4016874
8.0 149.0285596
9.0 68.71939478
10.0 30.8617036
11.0 15.30181506
12.0 7.48410452
13.0 3.518283996
14.0 1.50129106
15.0 0.483033022
16.0 -0.041773171
17.0 -0.284542269
18.0 -0.380118718
19.0 -0.400598455
20.0 -0.384603854
21.0 -0.366798967
22.0 -0.337680789
23.0 -0.304155305
24.0 -0.270159857
25.0 -0.237819546
26.0 -0.20817121
27.0 -0.181612834
28.0 -0.158179932
29.0 -0.13771354
30.0 -0.119960711
31.0 -0.105803556
32.0 -0.093322086
33.0 -0.082339077
34.0 -0.072686888
35.0 -0.064210506
36.0 -0.056963458
37.0 -0.050647153
38.0 -0.045128219
39.0 -0.040294138
40.0 -0.036049783
41.0 -0.032314537
42.0 -0.02901991
43.0 -0.026107571
44.0 -0.023527716
45.0 -0.021237713
46.0 -0.019200982
47.0 -0.017386053
48.0 -0.015765792
49.0 -0.014316746
50.0 -0.013018597
51.0 -0.011842717
52.0 -0.010787204
53.0 -0.009838373
54.0 -0.008984239
55.0 -0.008214285
56.0 -0.007519273
57.0 -0.006891076
58.0 -0.00632253
59.0 -0.005807317
60.0 -0.005339852
61.0 -0.004915194
62.0 -0.004528963
63.0 -0.004177273
64.0 -0.00385667
65.0 -0.003564082
66.0 -0.003296769
67.0 -0.003052288
68.0 -0.002828457
69.0 -0.002623323
70.0 -0.002435138
71.0 -0.00226178
72.0 -0.002102483
73.0 -0.001955973
74.0 -0.001821105
75.0 -0.001696844
76.0 -0.001582258
77.0 -0.001476505
78.0 -0.001378823
79.0 -0.001288522
80.0 -0.001204979
81.0 -0.001127628
82.0 -0.001055954
83.0 -0.00098949
84.0 -0.000927812
85.0 -0.000870534
86.0 -0.000817303
87.0 -0.0007678
88.0 -0.000721731
89.0 -0.000678828
90.0 -0.000638848
91.0 -0.000601567
92.0 -0.000566781
93.0 -0.000534301
94.0 -0.000503956
95.0 -0.000475589
96.0 -0.000449054
97.0 -0.000424218
98.0 -0.00040096
99.0 -0.000379166
100.0 -0.000358733
101.0 -0.000339565
102.0 -0.000321574
103.0 -0.000304678
104.0 -0.000288804
105.0 -0.00027388
106.0 -0.000259843
107.0 -0.000246634
108.0 -0.000234197
109.0 -0.000222483
110.0 -0.000211442
111.0 -0.000201033
112.0 -0.000191213
113.0 -0.000181946
114.0 -0.000173197
115.0 -0.000164932
116.0 -0.000157122
117.0 -0.000149738
118.0 -0.000142754
119.0 -0.000136146
120.0 -0.00012989
