# SDC file containing only one column of values created from
# original inputfile: ../SDCs_Chung/3p1singlet_NLO.txt
# using column 2 for the SDC values and column 0 for the pt values
################################################
# pT SDC
################################################
5.0 -143.9631381
6.0 -86.20547191
7.0 -53.87841994
8.0 -34.76027093
9.0 -23.02004697
10.0 -15.60681151
11.0 -10.84114185
12.0 -7.637374524
13.0 -5.475945506
14.0 -3.99968198
15.0 -2.974355074
16.0 -2.240115629
17.0 -1.711754552
18.0 -1.325917335
19.0 -1.040056628
20.0 -0.825242569
21.0 -0.652677763
22.0 -0.520716848
23.0 -0.419081787
24.0 -0.340197024
25.0 -0.278474308
26.0 -0.229779333
27.0 -0.191040277
28.0 -0.159962815
29.0 -0.134823359
30.0 -0.114319095
31.0 -0.09660638
32.0 -0.082086602
33.0 -0.07012193
34.0 -0.060210589
35.0 -0.051956531
36.0 -0.045160149
37.0 -0.039398869
38.0 -0.034486876
39.0 -0.030277029
40.0 -0.026651775
41.0 -0.02350346
42.0 -0.020774672
43.0 -0.018402843
44.0 -0.016335756
45.0 -0.014529664
46.0 -0.012940615
47.0 -0.011548173
48.0 -0.010326384
49.0 -0.00925282
50.0 -0.008308107
51.0 -0.007475262
52.0 -0.006741498
53.0 -0.006094842
54.0 -0.005524661
55.0 -0.005021557
56.0 -0.004577254
57.0 -0.004184484
58.0 -0.003836879
59.0 -0.003528868
60.0 -0.003255582
61.0 -0.003001028
62.0 -0.002769815
63.0 -0.002559129
64.0 -0.002366587
65.0 -0.002190162
66.0 -0.002028121
67.0 -0.001878974
68.0 -0.001741433
69.0 -0.001614381
70.0 -0.001496843
71.0 -0.001388242
72.0 -0.001287503
73.0 -0.001193966
74.0 -0.001107041
75.0 -0.001026204
76.0 -0.000950984
77.0 -0.000880957
78.0 -0.000815742
79.0 -0.000754991
80.0 -0.000698387
81.0 -0.000652719
82.0 -0.000610508
83.0 -0.00057146
84.0 -0.00053531
85.0 -0.000501814
86.0 -0.000470754
87.0 -0.000441929
88.0 -0.000415159
89.0 -0.000390278
90.0 -0.000367136
91.0 -0.000345596
92.0 -0.000325531
93.0 -0.000306829
94.0 -0.000289384
95.0 -0.0002731
96.0 -0.00025789
97.0 -0.000243674
98.0 -0.000230378
99.0 -0.000217934
100.0 -0.000206281
101.0 -0.000195696
102.0 -0.000185743
103.0 -0.000176375
104.0 -0.000167549
105.0 -0.000159227
106.0 -0.000151374
107.0 -0.000143956
108.0 -0.000136946
109.0 -0.000130315
110.0 -0.000124039
111.0 -0.000118095
112.0 -0.000112462
113.0 -0.000107121
114.0 -0.000102053
115.0 -9.72434e-05
116.0 -9.26755e-05
117.0 -8.83354e-05
118.0 -8.42101e-05
119.0 -8.02872e-05
120.0 -7.65555e-05
